epoch,train_loss,val_loss,val_log_mse_total,lr,train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Latency (ns),val_Write Latency (ns),val_log_mse_Write Latency (ns),train_Read Energy (nJ),val_Read Energy (nJ),val_log_mse_Read Energy (nJ),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
1,0.13569244461268098,0.0047762928882604866,0.02338171750307083,0.0005854042810907198,0.018075602,0.00034163037,0.0006833215,0.014538264,0.0008002969,0.0016014633,0.025878742,0.0039587617,0.007919654,0.022973845,0.0019448027,0.0038896054,0.03287997,0.0018209378,0.003642907,0.031162713,0.002822177,0.0056447666
2,0.010511594205533997,0.0013253354906818588,0.00630465941503644,0.0011708085621814396,0.0018971387,0.0004004811,0.0008009622,0.003244269,0.0005030094,0.0010060188,0.0037030652,0.0005033905,0.001006781,0.0020452277,0.00044543872,0.00089087745,0.0032396484,0.00063578057,0.0012715675,0.007350162,0.00066408905,0.0013284519
3,0.0029309174812174295,0.0013506664090964578,0.006228279322385788,0.0017562128432721592,0.0008944,0.0005817323,0.0011634646,0.0009927665,0.00045287158,0.0009057431,0.00096051797,0.00046307006,0.0009261403,0.0014748322,0.0004459095,0.000891819,0.0014170816,0.00055789977,0.0011157995,0.0016578845,0.0006126564,0.0012253128
4,0.0019356077730309181,0.001138484111407256,0.005860134959220886,0.002341617124362879,0.00063653645,0.00060190103,0.0012038021,0.0007181553,0.00019337618,0.00038675236,0.00075623236,0.00020441345,0.0004088269,0.00047009136,0.0004813836,0.0009627672,0.00084499846,0.000519761,0.0010395239,0.0011187628,0.00092923135,0.0018584627
5,0.001849157058978084,0.0010113665329278532,0.0042975167743861675,0.002927021405453599,0.0005667124,0.00015423686,0.00031209824,0.00057782687,0.0005482183,0.0010964366,0.00060145184,0.00065945735,0.0013189147,0.00039797593,0.00015101113,0.00030230838,0.0005996993,0.0003831409,0.0007662818,0.002702089,0.00025011637,0.0005014771
6,0.0008470720137024987,0.00036150882864771714,0.0018559210002422333,0.002927021405453599,0.00021924019,7.484315e-05,0.0001496863,0.00040332027,0.00016552815,0.0003310563,0.00042623142,0.00016410803,0.00032821606,0.00020580116,9.306737e-05,0.00018613474,0.00031540397,0.00014168088,0.00028336176,0.00035674343,0.00028873296,0.0005774659
7,0.000771795572824101,0.0007762334028202626,0.0032536943908780813,0.0029269384170298044,0.00020605957,0.00010315805,0.0002063161,0.00035175195,0.00057430536,0.0011486107,0.0003739854,0.00055949454,0.0011189891,0.00018632664,6.6252585e-05,0.00013250517,0.0002863484,0.0001682651,0.0003365302,0.00039626192,0.00015537158,0.00031074317
8,0.0006753886172414495,0.0003240370088136017,0.0015077576972544193,0.002926689461170144,0.00017885343,5.4825796e-05,0.0001096516,0.0003060473,0.00014449921,0.00028899842,0.00032547084,0.00017519278,0.00035038556,0.00016507354,5.6198027e-05,0.00011239604,0.00025579293,0.00014735895,0.0002964521,0.00034876782,0.00017493704,0.00034987408
9,0.000598512335722005,0.0004055911146916348,0.0018619848415255547,0.0029262745661087185,0.00015536971,7.5855976e-05,0.00015171195,0.00027754248,0.0001687618,0.0003375236,0.0002937798,0.00018283344,0.00036566687,0.00013978986,9.2261806e-05,0.00018452361,0.00021966692,0.0002279309,0.00045586174,0.00031815912,0.00018334853,0.00036669706
10,0.008052586332783315,0.006169740073911274,0.02843145839869976,0.0029256937788988044,0.00061057654,0.0015493837,0.003119741,0.00072923227,0.0020698362,0.0041397708,0.00075094716,0.0024145255,0.0048307083,0.0005659318,0.001516795,0.0030336187,0.0009109173,0.0036557887,0.0073225135,0.0013165082,0.0029915138,0.005985105
